idAUTHOR;AUTHOR_NAME;CPF;
1;Sarah J Maas;641.041.970-84;
2;Rick Riordan;451.263.950-09;
3;Patrick Rothfuss;468.517.960-90;
4;Rafael Rosseto;861.142.380-10;
5;Thairon Rodrigues;225.363.590-18;
6;Pedro Gabriel;790.530.860-05;
7;Adriano Vargas;416.793.160-52;
8;Douglas Werb;992.624.940-09;
9;Vermelho Sangue;684.766.310-30;
10;Roger de Souza;051.674.030-06;
11;Gustavo Dietrch;381.716.930-24;
12;Eduardo Fogaça;390.355.900-82;
13;Lucas Fernando;732.340.010-49;
14;Bernardo de Mattos;333.528.490-99;
15;Helena Berwanger;771.843.250-52;
