idREADERS;READER_NAME;CPF;R_ADRESS
1;Dante Alighieri;741.219.600-68;R. It lia
2;Arthur Cervero;214.355.290-49;R. Carpazinha
3;Kaiser;116.065.550-22;Av. Tenebris
4;Victor Fernandes;953.110.630-41;R. Honório Ávila 
5;Abner da Silva;527.622.320-31;Av. Independência
6;Joao Paulo;068.848.610-02;R. Honório Ávila 
7;Gabiel o Pensadir;050.174.850-40;R. Robespierre
8;Francisco Neves;288.818.180-00;R. Voltaire
9;Diogo Pereira;533.639.560-96;R. Marx
10;Maria Clara Santos;439.720.080-74;R. Kant
11;Cléber Moureira;350.634.190-11;Av. Engels
12;Henrique Rosa;702.028.300-47;R. Santo Agostinho
13;Sofia Marshallowitz;112.755.870-62;Av. Engels
14; Vitor Hugo;824.110.430-82;R. Balu
15;Vagner Lopes;893.450.830-22;R. Aristóteles
